ID,x,y
0,96,84
1,25,135
2,25,23
3,13,109
4,127,66
5,122,148
6,88,50
7,130,126
8,108,33
9,80,86
10,0,87
11,133,2
12,43,35
13,118,73
14,52,2
15,3,143
16,74,65
17,64,41
18,136,118
19,88,121
20,6,3
21,58,66
22,6,33
23,66,40
24,54,118
25,46,99
26,63,111
27,12,131
28,42,2
29,71,74
30,7,31
31,7,32
32,11,124
33,29,141
34,68,101
35,84,30
36,73,6
37,14,8
38,35,134
39,23,57
40,46,79
41,13,127
42,107,119
43,58,119
44,139,51
45,74,9
46,34,5
47,62,135
48,60,12
49,14,93
50,24,58
51,149,143
52,87,13
53,23,105
54,97,3
55,98,65
56,118,1
57,126,104
58,98,124
59,94,103
60,121,53
61,26,95
62,45,110
63,20,13
64,54,32
65,129,140
66,22,68
67,56,36
68,58,71
69,6,77
70,65,15
71,112,75
72,50,48
73,15,36
74,149,62
75,141,129
76,60,23
77,98,111
78,91,51
79,85,54
80,132,72
81,57,145
82,6,93
83,79,25
84,119,27
85,48,96
86,119,6
87,3,25
88,126,7
89,59,34
90,149,132
91,23,79
92,79,23
93,34,10
94,39,98
95,107,11
96,28,91
97,32,114
98,55,113
99,24,148
100,10,146
101,39,131
102,82,120
103,62,52
104,106,112
105,6,40
106,9,21
107,141,78
108,118,95
109,57,138
110,126,125
111,2,13
112,32,13
113,75,118
114,91,38
115,73,98
116,8,79
117,55,143
118,112,68
119,61,60
120,111,128
121,95,126
122,149,75
123,66,28
124,85,80
125,17,13
126,137,146
127,52,113
128,34,108
129,62,92
130,137,4
131,71,77
132,96,17
133,52,110
134,124,112
135,41,91
136,119,132
137,31,46
138,100,80
139,108,101
140,133,33
141,72,67
142,119,106
143,103,31
144,59,0
145,124,116
146,86,81
147,129,80
148,123,149
149,93,118
150,56,70
151,62,114
152,98,61
153,72,29
154,75,111
155,1,91
156,93,86
157,67,55
158,95,128
159,49,82
160,149,40
161,70,34
162,111,55
163,51,57
164,4,135
165,127,36
166,63,23
167,90,66
168,58,78
169,146,4
170,32,96
171,56,130
172,65,91
173,145,13
174,67,62
175,141,10
176,67,136
177,67,80
178,137,45
179,110,16
180,3,43
181,148,58
182,47,9
183,50,39
184,14,111
185,12,4
186,32,146
187,51,142
188,117,41
189,21,85
190,23,1
191,43,64
192,99,23
193,73,48
194,6,122
195,66,43
196,34,63
197,116,35
198,82,52
199,31,96
