ID,x,y,T_costPow
0,100,84,3
1,126,5,3
2,11,27,3
3,142,51,3
4,18,18,3
5,124,60,3
6,146,80,3
7,115,149,3
8,15,1,3
9,139,58,3
10,30,86,3
11,57,16,3
12,106,107,3
13,90,9,3
14,90,78,3
15,131,35,3
16,11,10,3
17,60,21,3
18,45,0,3
19,133,143,3
20,108,46,3
21,14,108,3
22,13,63,3
23,102,93,3
24,89,48,3
25,79,11,3
26,146,98,3
27,121,113,3
28,29,102,3
29,71,30,3
30,144,146,3
31,59,117,3
32,47,26,3
33,29,38,3
34,15,57,3
35,104,70,3
36,66,96,3
37,145,89,3
38,39,38,3
39,36,63,3
40,9,49,3
41,120,113,3
42,102,110,3
43,21,90,3
44,79,8,3
45,75,26,3
46,32,33,3
47,37,59,3
48,42,4,3
49,105,86,3
50,123,26,3
51,30,13,3
52,106,147,3
53,102,48,3
54,42,116,3
55,105,25,3
56,25,69,3
57,99,134,3
58,126,32,3
59,10,44,3
60,4,8,3
61,147,114,3
62,26,123,3
63,105,39,3
64,40,10,3
65,81,97,3
66,67,33,3
67,118,96,3
68,48,102,3
69,52,83,3
70,42,50,3
71,41,127,3
72,138,15,3
73,4,2,3
74,18,17,3
75,98,127,3
76,100,15,3
77,104,99,3
78,123,15,3
79,85,92,3
80,16,93,3
81,29,48,3
82,100,1,3
83,26,55,3
84,3,137,3
85,85,70,3
86,72,2,3
87,136,123,3
88,31,30,3
89,3,79,3
90,98,20,3
91,127,120,3
92,97,11,3
93,74,120,3
94,103,19,3
95,97,58,3
96,75,83,3
97,138,77,3
98,142,3,3
99,53,24,3
100,81,77,3
101,108,149,3
102,64,85,3
103,8,149,3
104,41,92,3
105,65,109,3
106,35,117,3
107,134,141,3
108,128,9,3
109,26,42,3
110,50,19,3
111,102,72,3
112,106,60,3
113,53,96,3
114,123,132,3
115,32,62,3
116,60,120,3
117,125,36,3
118,128,43,3
119,122,94,3
120,14,8,3
121,81,73,3
122,146,120,3
123,85,10,3
124,58,98,3
125,61,45,3
126,65,16,3
127,8,23,3
128,109,104,3
129,84,66,3
130,112,141,3
131,124,16,3
132,70,64,3
133,50,48,3
134,102,120,3
135,59,21,3
136,81,134,3
137,45,105,3
138,99,42,3
139,8,76,3
140,53,100,3
141,1,143,3
142,82,23,3
143,13,133,3
144,39,77,3
145,18,105,3
146,8,57,3
147,140,78,3
148,133,24,3
149,113,92,3
150,12,0,3
151,11,22,3
152,69,11,3
153,145,107,3
154,71,57,3
155,127,96,3
156,63,148,3
157,135,118,3
158,97,142,3
159,132,56,3
160,69,136,3
161,52,126,3
162,25,9,3
163,83,15,3
164,140,21,3
165,5,86,3
166,14,144,3
167,49,118,3
168,26,140,3
169,115,121,3
170,94,85,3
171,134,134,3
172,86,50,3
173,37,47,3
174,10,101,3
175,142,25,3
176,98,117,3
177,57,145,3
178,47,100,3
179,72,107,3
180,4,7,3
181,13,51,3
182,91,143,3
183,131,116,3
184,72,132,3
185,88,76,3
186,83,98,3
187,135,78,3
188,57,73,3
