ID,x,y,uavRge,Fullpower,uPow,U_uptime,U_downtime
0,28,142,0.81,21,21,76,136
1,70,92,0.83,21,19,85,145
2,94,8,0.8,22,20,94,154
3,60,81,0.83,27,21,11,71
4,146,128,0.86,28,19,77,137
5,75,136,0.88,20,19,54,114
6,48,134,0.82,23,22,61,121
7,84,79,0.8,27,23,104,164
8,38,138,0.8,26,26,50,110
9,13,88,0.9,25,21,117,177
10,55,107,0.81,22,20,8,68
11,116,63,0.88,23,22,88,148
12,22,119,0.84,24,23,46,106
13,4,14,0.88,22,19,20,80
14,10,120,0.82,25,21,108,168
15,144,147,0.87,28,19,34,94
16,80,84,0.84,30,29,0,60
17,6,46,0.81,24,20,55,115
18,128,117,0.84,21,21,94,154
19,127,40,0.86,22,21,60,120
20,31,77,0.86,25,20,82,142
21,5,22,0.85,26,26,40,100
22,124,60,0.9,29,23,40,100
23,126,8,0.88,25,25,50,110
24,11,7,0.87,22,19,65,125
25,13,85,0.88,30,30,28,88
26,6,84,0.85,30,29,86,146
27,37,32,0.84,28,24,64,124
28,98,98,0.83,24,22,65,125
29,20,101,0.85,29,29,20,80
30,62,95,0.86,29,26,75,135
31,52,47,0.81,20,19,49,109
32,16,28,0.9,20,20,5,65
33,58,128,0.85,20,20,64,124
34,32,53,0.81,25,24,53,113
35,132,28,0.86,25,19,37,97
36,125,66,0.88,28,24,31,91
37,138,36,0.85,29,28,111,171
38,49,18,0.83,29,22,8,68
39,19,128,0.83,25,20,82,142
40,51,130,0.82,29,21,5,65
41,108,149,0.86,26,24,34,94
42,95,43,0.85,25,20,98,158
43,129,139,0.85,20,19,96,156
44,78,111,0.81,26,23,37,97
45,141,76,0.88,26,26,72,132
46,50,51,0.85,20,20,75,135
47,55,72,0.87,27,21,22,82
48,34,113,0.8,29,22,100,160
49,45,19,0.87,27,23,104,164
50,95,132,0.86,29,28,23,83
51,149,51,0.88,20,19,27,87
52,11,11,0.83,24,19,87,147
53,149,107,0.89,26,24,46,106
54,104,52,0.83,29,23,113,173
55,29,88,0.89,23,20,37,97
56,120,50,0.8,22,20,114,174
57,131,124,0.8,24,19,84,144
58,2,103,0.9,23,20,93,153
59,19,70,0.88,23,22,70,130
60,92,17,0.81,23,21,10,70
61,102,120,0.88,20,19,109,169
62,38,39,0.89,23,23,20,80
63,19,91,0.88,25,21,20,80
64,0,123,0.82,25,24,75,135
65,69,51,0.8,28,25,57,117
66,90,79,0.81,26,22,54,114
67,60,45,0.8,22,20,66,126
68,130,139,0.86,26,20,3,63
69,22,73,0.82,28,27,62,122
