ID,x,y,carRge,C_uptime,C_downtime,C_chargePow
0,44,108,0.54,20,80,10
1,101,57,0.53,51,111,10
2,49,63,0.57,11,71,10
3,21,60,0.6,113,173,10
4,47,2,0.56,17,77,10
5,70,2,0.58,102,162,10
6,8,32,0.58,87,147,10
7,12,29,0.53,60,120,10
8,27,59,0.51,21,81,10
9,105,69,0.52,58,118,10
10,35,81,0.53,97,157,10
11,46,35,0.58,67,127,10
12,33,98,0.55,57,117,10
13,7,99,0.6,89,149,10
14,100,76,0.54,19,79,10
15,9,7,0.54,33,93,10
16,8,32,0.6,108,168,10
17,10,81,0.6,82,142,10
18,38,80,0.55,9,69,10
19,96,102,0.56,109,169,10
20,70,15,0.51,49,109,10
21,21,116,0.54,106,166,10
22,7,86,0.59,111,171,10
23,39,57,0.52,18,78,10
24,36,96,0.59,45,105,10
25,24,62,0.55,69,129,10
26,42,109,0.55,39,99,10
27,116,69,0.53,43,103,10
28,94,82,0.57,35,95,10
29,56,105,0.54,78,138,10
30,113,42,0.55,67,127,10
31,80,74,0.55,104,164,10
32,109,77,0.56,19,79,10
33,24,93,0.59,59,119,10
34,3,20,0.57,89,149,10
35,101,57,0.57,14,74,10
36,65,74,0.52,9,69,10
37,63,73,0.54,67,127,10
38,54,60,0.54,102,162,10
39,29,33,0.56,3,63,10
40,52,13,0.59,23,83,10
41,75,92,0.57,84,144,10
42,87,62,0.6,86,146,10
43,62,114,0.5,57,117,10
44,79,48,0.58,46,106,10
45,15,17,0.52,26,86,10
46,30,9,0.57,109,169,10
47,97,12,0.51,67,127,10
48,102,48,0.54,41,101,10
49,6,56,0.56,61,121,10
50,31,28,0.55,98,158,10
51,97,112,0.59,64,124,10
52,79,116,0.6,102,162,10
53,40,17,0.51,45,105,10
54,79,69,0.58,58,118,10
55,51,11,0.53,101,161,10
56,8,15,0.54,23,83,10
57,43,102,0.58,13,73,10
58,98,15,0.58,26,86,10
59,82,88,0.52,63,123,10
60,23,82,0.52,49,109,10
61,80,84,0.59,12,72,10
62,13,73,0.52,22,82,10
63,57,94,0.57,88,148,10
64,104,0,0.59,107,167,10
65,38,18,0.58,97,157,10
66,28,50,0.58,86,146,10
67,44,108,0.57,97,157,10
68,70,10,0.58,104,164,10
69,61,66,0.59,111,171,10
70,42,18,0.54,69,129,10
71,14,110,0.58,42,102,10
72,79,11,0.5,75,135,10
73,22,3,0.58,67,127,10
74,33,12,0.6,14,74,10
75,32,111,0.58,108,168,10
76,69,39,0.6,75,135,10
77,8,2,0.51,29,89,10
78,19,35,0.53,95,155,10
79,29,92,0.54,40,100,10
80,82,40,0.51,38,98,10
81,118,65,0.54,46,106,10
82,88,12,0.56,48,108,10
83,45,56,0.59,56,116,10
84,2,62,0.53,32,92,10
85,18,2,0.59,78,138,10
86,60,72,0.55,4,64,10
87,79,33,0.58,112,172,10
88,80,19,0.52,80,140,10
89,118,30,0.54,40,100,10
90,0,65,0.57,17,77,10
91,81,2,0.55,18,78,10
92,106,88,0.51,105,165,10
93,18,9,0.53,12,72,10
94,101,66,0.54,60,120,10
95,42,21,0.52,13,73,10
96,24,46,0.55,90,150,10
97,25,21,0.53,5,65,10
98,40,67,0.55,119,179,10
99,40,2,0.56,18,78,10
100,86,59,0.52,42,102,10
101,23,83,0.56,37,97,10
102,58,111,0.51,89,149,10
103,100,75,0.55,117,177,10
104,115,35,0.56,89,149,10
105,104,19,0.51,66,126,10
106,0,39,0.53,98,158,10
107,93,82,0.51,55,115,10
108,69,118,0.51,81,141,10
109,85,111,0.54,72,132,10
110,2,13,0.53,31,91,10
111,0,74,0.55,41,101,10
112,15,84,0.55,86,146,10
113,72,24,0.57,79,139,10
114,73,73,0.58,49,109,10
115,12,83,0.52,5,65,10
116,52,30,0.53,70,130,10
117,116,102,0.51,17,77,10
118,111,31,0.52,101,161,10
119,100,76,0.57,111,171,10
120,6,11,0.55,54,114,10
121,73,10,0.59,110,170,10
122,110,108,0.51,77,137,10
123,21,46,0.51,69,129,10
124,55,65,0.57,12,72,10
125,24,97,0.56,19,79,10
126,1,103,0.57,45,105,10
127,40,92,0.6,65,125,10
