ID,x,y,workerRge,W_uptime,W_downtime
0,30,77,0.26,13,73
1,49,27,0.28,20,80
2,18,12,0.28,38,98
3,18,28,0.28,8,68
4,75,81,0.26,62,122
5,67,106,0.25,112,172
6,38,92,0.27,67,127
7,45,17,0.29,115,175
8,45,46,0.24,114,174
9,77,110,0.3,16,76
10,92,4,0.26,73,133
11,15,102,0.24,69,129
12,54,78,0.25,63,123
13,40,13,0.23,64,124
14,111,0,0.28,0,60
15,11,66,0.29,13,73
16,103,81,0.29,38,98
17,88,85,0.3,109,169
18,32,88,0.23,107,167
19,15,41,0.3,13,73
20,56,86,0.21,29,89
21,0,46,0.25,74,134
22,11,15,0.29,75,135
23,39,25,0.23,51,111
24,117,64,0.21,95,155
25,26,70,0.22,119,179
26,59,51,0.23,81,141
27,21,88,0.2,5,65
28,46,51,0.28,91,151
29,80,18,0.24,17,77
30,109,42,0.23,62,122
31,34,106,0.2,50,110
32,49,86,0.28,50,110
33,16,35,0.24,103,163
34,22,18,0.26,88,148
35,10,12,0.21,78,138
36,54,81,0.28,35,95
37,75,67,0.22,66,126
38,106,111,0.28,97,157
39,9,77,0.25,57,117
40,19,44,0.22,69,129
41,88,104,0.29,64,124
42,32,1,0.29,30,90
43,11,52,0.21,60,120
44,71,74,0.21,28,88
45,98,85,0.23,100,160
46,15,4,0.24,16,76
47,116,19,0.26,44,104
48,77,113,0.29,41,101
49,90,13,0.22,48,108
50,50,20,0.26,1,61
51,30,91,0.27,46,106
52,52,108,0.28,77,137
53,25,100,0.24,7,67
54,68,49,0.28,22,82
55,88,65,0.23,60,120
56,101,63,0.21,22,82
57,4,75,0.29,111,171
58,75,4,0.24,109,169
59,72,84,0.26,36,96
60,76,83,0.27,99,159
61,77,28,0.3,103,163
62,93,47,0.24,114,174
63,18,71,0.27,83,143
64,96,118,0.23,79,139
65,100,63,0.25,111,171
66,97,113,0.26,114,174
67,12,1,0.24,118,178
68,111,59,0.28,62,122
69,119,37,0.2,8,68
70,45,63,0.26,72,132
71,106,99,0.25,11,71
72,43,11,0.25,92,152
73,34,44,0.28,12,72
74,72,96,0.3,38,98
75,80,57,0.29,33,93
76,117,21,0.29,0,60
77,68,71,0.29,115,175
78,43,88,0.27,116,176
79,105,81,0.23,109,169
80,19,14,0.28,10,70
81,115,90,0.3,66,126
82,71,74,0.24,7,67
83,79,6,0.21,29,89
84,14,50,0.22,110,170
85,66,22,0.22,37,97
86,89,83,0.21,19,79
87,101,54,0.22,2,62
88,87,8,0.22,60,120
89,31,116,0.23,83,143
90,96,53,0.29,96,156
91,74,117,0.29,2,62
92,37,47,0.22,25,85
93,116,48,0.26,66,126
94,42,93,0.26,74,134
95,60,68,0.29,89,149
96,2,110,0.2,44,104
97,75,55,0.23,5,65
98,19,53,0.23,61,121
99,26,19,0.26,33,93
100,12,11,0.28,109,169
101,99,6,0.22,67,127
102,29,3,0.29,116,176
103,107,51,0.2,119,179
104,107,102,0.2,31,91
105,118,44,0.28,40,100
106,15,4,0.29,77,137
107,45,111,0.27,88,148
108,79,101,0.2,2,62
109,110,111,0.21,25,85
110,17,44,0.28,101,161
111,13,57,0.27,98,158
112,46,40,0.21,43,103
113,72,62,0.23,111,171
114,35,2,0.23,30,90
115,72,8,0.22,99,159
116,29,77,0.2,72,132
117,61,66,0.24,68,128
118,72,51,0.22,94,154
119,118,33,0.21,114,174
120,66,117,0.24,64,124
121,34,104,0.3,37,97
122,17,79,0.29,11,71
123,3,21,0.27,65,125
124,63,84,0.23,13,73
125,5,86,0.23,49,109
126,27,28,0.29,120,180
127,17,3,0.25,47,107
128,27,87,0.27,11,71
129,75,37,0.3,0,60
130,7,38,0.22,14,74
131,63,103,0.22,80,140
132,79,42,0.26,98,158
133,79,32,0.24,44,104
134,74,0,0.24,50,110
135,85,72,0.29,102,162
136,98,116,0.21,77,137
137,75,112,0.2,109,169
138,73,38,0.3,106,166
139,8,72,0.3,36,96
140,52,78,0.24,114,174
141,36,36,0.26,84,144
142,25,53,0.25,32,92
143,116,50,0.29,33,93
144,77,89,0.29,23,83
145,59,112,0.26,65,125
146,50,0,0.26,50,110
147,81,101,0.27,67,127
148,9,30,0.25,98,158
149,41,18,0.22,12,72
150,113,116,0.27,55,115
151,68,36,0.27,41,101
152,6,53,0.25,22,82
153,72,37,0.29,83,143
154,70,58,0.28,24,84
155,50,72,0.26,88,148
156,104,109,0.28,55,115
157,19,78,0.21,7,67
158,50,89,0.28,11,71
159,63,48,0.26,43,103
160,83,83,0.23,97,157
161,19,37,0.24,26,86
162,87,47,0.26,24,84
163,32,104,0.24,32,92
164,18,97,0.22,25,85
165,63,112,0.26,66,126
166,119,96,0.3,47,107
167,38,3,0.26,64,124
168,67,36,0.27,92,152
169,37,24,0.21,96,156
170,88,107,0.28,1,61
171,5,72,0.22,63,123
172,34,15,0.21,100,160
173,26,76,0.23,93,153
174,40,117,0.27,11,71
175,68,103,0.22,27,87
176,39,36,0.21,91,151
177,6,101,0.21,91,151
178,54,76,0.28,98,158
179,66,118,0.29,92,152
180,54,17,0.23,118,178
181,80,107,0.29,37,97
182,101,49,0.21,119,179
183,117,13,0.23,111,171
184,68,51,0.26,29,89
185,116,27,0.26,79,139
186,37,40,0.29,87,147
187,23,74,0.23,5,65
188,37,10,0.21,55,115
189,67,74,0.21,92,152
190,81,20,0.26,8,68
191,86,58,0.27,47,107
