data,DecideTime,AllTime,AvgComplete,MaxComplete,Cost
BicycleOrder,5min,3h,,,
BicycleOrder,10min,3h,,,
BicycleOrder,15min,3h,,,
TaxiTrajectories,5min,3h,,,
TaxiTrajectories,10min,3h,,,
TaxiTrajectories,15min,3h,,,
DidiOrders,5min,3h,,,
DidiOrders,10min,3h,,,
DidiOrders,15min,3h,,,
Random_1,5min,3h,,,
Random_1,10min,3h,,,
Random_1,15min,3h,,,
BicycleOrder,5min,2h,,,
BicycleOrder,5min,3h,,,
BicycleOrder,5min,4h,,,
TaxiTrajectories,5min,2h,,,
TaxiTrajectories,5min,3h,,,
TaxiTrajectories,5min,4h,,,
DidiOrders,5min,2h,,,
DidiOrders,5min,3h,,,
DidiOrders,5min,4h,,,
