ID,x,y,uavRge,Fullpower,uPow,U_uptime,U_downtime
0,19,9,0.84,28,23,73,133
1,11,29,0.81,27,19,33,93
2,17,0,0.86,26,21,86,146
3,17,21,0.88,24,23,94,154
4,7,25,0.88,23,19,61,121
5,3,4,0.88,26,23,61,121
6,3,15,0.82,25,22,62,122
7,9,21,0.86,26,22,94,154
8,15,16,0.85,20,19,93,153
9,8,15,0.87,29,25,90,150
10,8,18,0.89,23,20,106,166
11,9,13,0.84,29,28,38,98
12,9,20,0.84,22,19,28,88
13,27,13,0.81,30,30,26,86
14,2,12,0.88,29,20,14,74
15,1,8,0.82,26,24,35,95
16,17,15,0.89,27,23,109,169
17,4,29,0.8,27,19,101,161
18,23,7,0.86,25,22,82,142
19,23,15,0.84,20,19,69,129
20,0,23,0.87,30,25,28,88
21,28,6,0.89,26,23,119,179
22,11,1,0.81,26,25,95,155
23,18,16,0.89,29,22,71,131
24,24,7,0.87,23,21,41,101
25,10,23,0.84,26,24,75,135
26,5,8,0.83,22,19,89,149
27,4,21,0.87,25,22,82,142
28,8,20,0.89,22,19,114,174
29,23,11,0.88,22,22,94,154
30,24,5,0.84,25,20,89,149
31,12,24,0.86,27,22,5,65
32,1,1,0.83,23,21,89,149
33,8,10,0.86,25,20,100,160
34,24,2,0.82,30,22,96,156
35,28,7,0.86,22,19,80,140
36,12,0,0.82,20,19,39,99
37,19,21,0.81,21,19,13,73
38,9,22,0.84,30,26,18,78
39,2,11,0.86,20,20,9,69
40,23,20,0.81,21,20,34,94
41,6,5,0.85,28,26,96,156
42,16,15,0.82,29,24,102,162
43,13,9,0.81,24,20,5,65
44,27,2,0.88,21,20,55,115
