ID,x,y,workerRge,W_uptime,W_downtime
0,0,1,0.27,47,107
1,28,7,0.21,5,65
2,3,11,0.26,72,132
3,24,4,0.27,16,76
4,22,25,0.24,120,180
5,23,4,0.23,97,157
6,20,28,0.26,54,114
7,29,5,0.23,6,66
8,7,1,0.27,17,77
9,12,4,0.23,36,96
10,10,0,0.22,14,74
11,24,27,0.28,112,172
12,25,4,0.26,74,134
13,16,22,0.26,23,83
14,12,13,0.27,32,92
15,25,16,0.23,108,168
16,22,23,0.27,50,110
17,15,4,0.22,67,127
18,12,7,0.24,107,167
19,13,15,0.26,33,93
20,6,19,0.21,67,127
21,14,12,0.28,83,143
22,24,24,0.29,112,172
23,3,29,0.22,50,110
24,11,9,0.21,60,120
25,22,14,0.24,114,174
26,19,20,0.25,26,86
27,1,29,0.27,37,97
28,5,1,0.22,60,120
29,9,5,0.24,11,71
30,18,26,0.24,96,156
31,19,22,0.21,116,176
32,9,1,0.28,115,175
33,11,21,0.28,66,126
34,29,12,0.3,100,160
35,7,24,0.24,94,154
36,3,25,0.21,41,101
37,26,13,0.28,100,160
38,17,4,0.26,90,150
39,20,26,0.23,102,162
40,15,11,0.24,9,69
41,22,20,0.27,61,121
42,9,5,0.26,97,157
43,29,27,0.26,21,81
44,12,20,0.24,54,114
45,18,3,0.21,45,105
46,11,22,0.2,60,120
47,1,11,0.21,67,127
48,9,20,0.25,118,178
49,28,12,0.26,51,111
