ID,x,y,T_costPow
0,6,19,3
1,26,24,3
2,10,8,3
3,20,29,3
4,3,12,3
5,19,5,3
6,24,7,3
7,11,18,3
8,0,12,3
9,4,18,3
10,22,18,3
11,16,20,3
12,13,21,3
13,20,0,3
14,29,8,3
15,23,8,3
16,26,13,3
17,14,17,3
18,20,4,3
19,10,27,3
20,16,12,3
21,20,25,3
22,10,23,3
23,0,8,3
24,9,24,3
25,14,8,3
26,25,18,3
27,25,21,3
28,10,11,3
29,11,17,3
30,28,10,3
31,23,13,3
32,12,6,3
33,6,22,3
34,18,20,3
35,14,24,3
36,17,23,3
37,6,27,3
38,4,15,3
39,2,10,3
40,16,0,3
41,29,10,3
42,7,25,3
43,19,28,3
44,9,12,3
45,14,16,3
46,29,2,3
47,20,8,3
48,29,23,3
49,0,18,3
50,5,25,3
51,1,8,3
52,0,3,3
53,0,8,3
54,8,1,3
55,10,8,3
56,17,11,3
57,28,29,3
58,10,15,3
59,18,13,3
60,29,4,3
61,20,22,3
62,0,29,3
63,1,25,3
64,7,2,3
65,12,8,3
66,18,20,3
67,10,16,3
68,13,0,3
69,5,28,3
70,27,23,3
71,29,12,3
72,1,19,3
73,27,20,3
74,27,27,3
75,12,1,3
76,15,24,3
77,3,26,3
78,20,8,3
79,29,19,3
