data,DecideTime,AllTime,AvgComplete,MaxComplete,Cost
BicycleOrder,5min,3h,,,
BicycleOrder,10min,3h,0.8737,0.8889,782.1142
BicycleOrder,15min,3h,0.7091,0.7273,1135.1751
TaxiTrajectories,5min,3h,0.7108,0.7255,190.3337
TaxiTrajectories,10min,3h,0.6912,0.7157,260.9360
TaxiTrajectories,15min,3h,0.5980,0.6078,366.4183
DidiOrders,5min,3h,0.8618,0.8824,276.9022
DidiOrders,10min,3h,0.7676,0.7941,323.9168
DidiOrders,15min,3h,0.6176,0.6176,550.4798
Random_1,5min,3h,0.7683,0.7833,371.6924
Random_1,10min,3h,0.7608,0.7833,238.1764
Random_1,15min,3h,0.6817,0.7250,366.6385
BicycleOrder,5min,2h,0.4273,0.4343,178.1204
BicycleOrder,5min,3h,0.9202,0.9495,2198.7609
BicycleOrder,5min,4h,,,
TaxiTrajectories,5min,2h,,,
TaxiTrajectories,5min,3h,0.7108,0.7255,190.3337
TaxiTrajectories,5min,4h,,,
DidiOrders,5min,2h,,,
DidiOrders,5min,3h,0.8618,0.8824,276.9022
DidiOrders,5min,4h,,,
