ID,x,y,workerRge,W_uptime,W_downtime
0,4,27,0.22,4,64
1,27,5,0.21,105,165
2,9,26,0.25,1,61
3,24,0,0.22,68,128
4,10,0,0.21,59,119
5,23,29,0.23,19,79
6,15,19,0.28,91,151
7,1,2,0.24,7,67
8,26,24,0.29,119,179
9,2,9,0.29,98,158
10,1,8,0.29,72,132
11,24,27,0.21,19,79
12,26,10,0.23,0,60
13,18,9,0.25,47,107
14,16,20,0.29,99,159
15,23,2,0.27,61,121
16,18,25,0.21,23,83
17,17,21,0.2,30,90
18,24,16,0.26,32,92
19,4,27,0.27,99,159
20,6,3,0.28,33,93
21,11,16,0.27,84,144
22,8,0,0.22,74,134
23,27,8,0.21,102,162
24,24,14,0.21,39,99
25,24,7,0.26,62,122
26,10,17,0.22,31,91
27,23,1,0.26,100,160
28,6,0,0.22,110,170
29,28,28,0.23,46,106
30,3,10,0.23,81,141
31,3,7,0.29,23,83
32,27,21,0.26,20,80
33,13,25,0.27,86,146
34,19,17,0.2,79,139
35,28,25,0.2,40,100
36,22,10,0.25,38,98
37,9,18,0.24,77,137
38,24,16,0.28,74,134
39,21,19,0.3,70,130
40,7,5,0.24,65,125
41,28,11,0.21,119,179
42,10,11,0.28,109,169
43,7,6,0.27,89,149
44,7,20,0.21,120,180
45,25,11,0.3,72,132
46,3,22,0.26,104,164
47,7,19,0.26,92,152
48,6,4,0.22,118,178
49,7,18,0.24,120,180
