ID,x,y,T_costPow
0,10,22,3
1,6,29,3
2,13,24,3
3,13,10,3
4,10,12,3
5,5,26,3
6,14,4,3
7,8,24,3
8,12,23,3
9,19,5,3
10,8,6,3
11,23,19,3
12,16,3,3
13,23,10,3
14,16,29,3
15,15,2,3
16,12,19,3
17,21,13,3
18,21,13,3
19,22,24,3
20,22,26,3
21,8,11,3
22,22,22,3
23,4,8,3
24,19,5,3
25,25,20,3
26,27,6,3
27,6,20,3
28,9,25,3
29,18,21,3
30,25,20,3
31,20,9,3
32,0,5,3
33,6,3,3
34,18,3,3
35,25,7,3
36,17,23,3
37,25,24,3
38,4,17,3
39,0,7,3
40,8,27,3
41,3,5,3
42,24,13,3
43,16,13,3
44,16,3,3
45,11,28,3
46,5,27,3
47,14,9,3
48,3,10,3
49,11,7,3
50,2,2,3
51,7,22,3
52,11,23,3
53,27,18,3
54,5,0,3
55,10,7,3
56,29,26,3
57,7,10,3
58,22,23,3
59,8,13,3
60,27,12,3
61,6,27,3
62,6,15,3
63,29,28,3
64,11,28,3
65,10,27,3
66,19,10,3
67,9,16,3
68,3,21,3
69,2,10,3
70,17,14,3
71,1,25,3
72,3,5,3
73,6,27,3
74,7,10,3
75,14,11,3
76,15,29,3
77,29,8,3
78,25,13,3
79,8,17,3
