ID,x,y,carRge,C_uptime,C_downtime,C_chargePow
0,28,14,0.52,78,138,9.4
1,2,2,0.5,90,150,9.7
2,23,23,0.54,91,151,8.1
3,29,4,0.57,110,170,9.3
4,24,11,0.57,47,107,8.8
5,6,24,0.54,43,103,8.3
6,14,12,0.58,41,101,8.2
7,8,5,0.51,78,138,8.6
8,14,2,0.54,105,165,8.1
9,2,10,0.52,4,64,8.0
10,15,14,0.51,43,103,8.7
11,16,25,0.52,59,119,8.4
12,12,4,0.58,0,60,9.8
13,20,28,0.58,111,171,8.5
14,26,18,0.59,31,91,8.5
15,29,23,0.56,82,142,9.8
16,11,17,0.53,50,110,9.8
17,12,7,0.51,111,171,9.7
18,23,22,0.53,113,173,9.6
19,21,6,0.53,98,158,9.2
