ID,x,y,uavRge,Fullpower,uPow,U_uptime,U_downtime
0,27,19,0.83,26,23,6,66
1,3,22,0.87,27,21,12,72
2,9,22,0.86,23,23,32,92
3,25,13,0.8,26,20,3,63
4,3,3,0.81,24,23,31,91
5,17,12,0.86,29,21,24,84
6,21,22,0.88,22,22,21,81
7,5,25,0.85,23,22,10,70
8,18,10,0.89,29,27,4,64
9,21,1,0.8,27,26,72,132
10,6,11,0.87,21,21,63,123
11,6,6,0.88,26,26,63,123
12,4,23,0.87,23,20,30,90
13,16,8,0.89,30,21,86,146
14,9,22,0.87,23,23,71,131
15,12,17,0.87,29,26,113,173
16,18,17,0.8,27,22,87,147
17,19,2,0.87,27,21,66,126
18,27,25,0.83,22,22,6,66
19,4,8,0.83,20,20,76,136
20,21,15,0.87,22,19,91,151
21,23,8,0.85,25,20,71,131
22,3,27,0.85,25,20,114,174
23,8,6,0.89,24,21,49,109
24,7,5,0.87,20,20,37,97
25,25,13,0.81,21,20,120,180
26,3,5,0.9,26,23,108,168
27,19,13,0.83,29,25,12,72
28,11,23,0.81,22,21,96,156
29,28,27,0.84,27,20,10,70
