ID,x,y,uavRge,Fullpower,uPow,U_uptime,U_downtime
0,23,3,0.89,26,21,4,64
1,13,27,0.85,29,28,5,65
2,1,8,0.88,28,23,5,65
3,27,29,0.85,22,21,7,67
4,10,2,0.82,25,19,9,69
5,0,9,0.81,25,22,17,77
6,5,3,0.85,23,19,22,82
7,13,15,0.83,22,21,24,84
8,27,11,0.89,24,21,30,90
9,14,17,0.9,24,20,31,91
10,11,21,0.89,27,23,35,95
11,4,6,0.86,29,22,36,96
12,19,13,0.81,20,20,37,97
13,9,23,0.86,29,27,37,97
14,14,22,0.86,28,20,37,97
15,27,0,0.86,20,20,37,97
16,13,26,0.85,28,23,37,97
17,8,14,0.8,22,22,41,101
18,13,11,0.86,27,22,43,103
19,27,13,0.82,23,19,44,104
20,5,6,0.86,24,23,45,105
21,0,10,0.81,30,22,48,108
22,24,0,0.83,22,20,50,110
23,9,13,0.85,30,26,52,112
24,9,6,0.82,29,26,54,114
25,4,29,0.87,21,21,55,115
26,24,10,0.83,26,23,65,125
27,12,3,0.84,24,21,67,127
28,16,20,0.84,26,20,71,131
29,25,18,0.84,20,20,73,133
30,28,13,0.89,23,23,79,139
31,12,8,0.82,27,27,80,140
32,28,17,0.9,28,21,82,142
33,22,21,0.89,28,25,86,146
34,1,21,0.84,21,19,92,152
35,7,12,0.89,26,26,93,153
36,24,9,0.83,23,19,96,156
37,1,10,0.89,23,21,100,160
38,22,12,0.84,24,22,101,161
39,22,3,0.88,27,27,102,162
40,23,6,0.84,30,25,110,170
41,20,20,0.88,23,23,111,171
42,18,15,0.9,25,22,112,172
43,15,9,0.85,25,23,115,175
44,0,16,0.82,21,19,119,179
