ID,x,y,T_costPow
0,11,5,2
1,5,29,2
2,6,20,2
3,9,21,2
4,0,28,2
5,26,10,2
6,5,29,2
7,6,1,2
8,24,13,2
9,0,5,2
10,8,22,2
11,15,19,2
12,22,23,2
13,11,2,2
14,27,23,2
15,14,4,2
16,25,3,2
17,13,5,2
18,17,1,2
19,0,9,2
20,13,18,2
21,27,14,2
22,6,28,2
23,3,15,2
24,7,28,2
25,23,16,2
26,24,8,2
27,16,19,2
28,12,21,2
29,10,3,2
30,9,15,2
31,17,0,2
32,24,19,2
33,19,28,2
34,13,7,2
35,12,21,2
36,24,2,2
37,22,15,2
38,24,25,2
39,23,29,2
40,17,3,2
41,9,19,2
42,21,10,2
43,17,7,2
44,14,0,2
45,24,28,2
46,25,15,2
47,24,29,2
48,26,3,2
49,23,7,2
50,20,9,2
51,11,15,2
52,18,0,2
53,0,8,2
54,18,6,2
55,8,21,2
56,10,12,2
57,4,22,2
58,16,9,2
59,18,28,2
60,9,8,2
61,23,24,2
62,21,13,2
63,5,27,2
64,17,28,2
65,21,5,2
66,26,12,2
67,9,17,2
68,4,2,2
69,7,14,2
70,29,22,2
71,8,7,2
72,18,10,2
73,2,12,2
74,25,13,2
75,12,6,2
76,0,15,2
77,11,4,2
78,14,2,2
79,10,8,2
