ID,x,y,workerRge,W_uptime,W_downtime
0,24,8,0.29,7,67
1,20,17,0.2,25,85
2,29,6,0.27,2,62
3,10,27,0.24,1,61
4,23,17,0.23,46,106
5,13,3,0.25,29,89
6,23,6,0.28,56,116
7,9,27,0.23,65,125
8,12,1,0.26,87,147
9,28,27,0.23,117,177
10,19,2,0.29,115,175
11,8,3,0.23,49,109
12,22,22,0.28,74,134
13,3,0,0.21,9,69
14,8,13,0.26,43,103
15,16,14,0.26,3,63
16,11,16,0.21,32,92
17,12,22,0.23,7,67
18,11,2,0.24,25,85
19,5,19,0.24,36,96
20,25,16,0.25,44,104
21,23,1,0.25,27,87
22,21,21,0.28,110,170
23,17,13,0.24,65,125
24,10,23,0.24,35,95
25,11,6,0.26,86,146
26,29,22,0.21,37,97
27,13,17,0.27,53,113
28,3,1,0.25,54,114
29,11,25,0.24,63,123
30,25,16,0.25,84,144
31,27,17,0.26,49,109
32,26,13,0.25,99,159
33,9,23,0.29,12,72
34,7,6,0.21,46,106
35,8,10,0.29,64,124
36,28,13,0.25,97,157
37,20,13,0.28,40,100
38,21,19,0.24,103,163
39,22,15,0.23,87,147
40,1,24,0.3,106,166
41,14,25,0.21,4,64
42,17,21,0.23,95,155
43,13,20,0.21,114,174
44,17,7,0.26,23,83
45,27,1,0.28,24,84
46,24,11,0.25,80,140
47,24,12,0.2,71,131
48,10,0,0.23,104,164
49,21,1,0.27,56,116
