ID,x,y,carRge,C_uptime,C_downtime,C_chargePow
0,28,35,0.56,52,112,10
1,20,38,0.58,108,168,10
2,22,29,0.59,103,163,10
3,32,27,0.59,28,88,10
4,22,3,0.56,93,153,10
5,37,23,0.52,76,136,10
6,31,3,0.51,113,173,10
7,29,12,0.58,18,78,10
8,12,8,0.6,92,152,10
9,33,25,0.58,83,143,10
10,17,34,0.58,45,105,10
11,28,9,0.54,49,109,10
12,2,38,0.55,42,102,10
13,24,23,0.55,118,178,10
14,13,6,0.51,89,149,10
15,39,17,0.58,56,116,10
16,18,7,0.6,93,153,10
17,13,14,0.51,99,159,10
18,7,21,0.59,113,173,10
19,7,8,0.58,109,169,10
