id,x,y,T_costPow
0,1,5,3
1,1,7,3
2,2,6,3
3,3,5,3
4,3,6,3
5,4,2,3
6,4,3,3
7,5,2,3
8,5,3,3
9,5,6,3
10,5,11,3
11,6,1,3
12,6,3,3
13,6,4,3
14,6,6,3
15,7,3,3
16,7,5,3
17,7,6,3
18,7,11,3
19,7,13,3
20,8,1,3
21,8,2,3
22,8,3,3
23,8,4,3
24,8,11,3
25,8,12,3
26,8,13,3
27,8,14,3
28,8,15,3
29,9,1,3
30,9,3,3
31,9,7,3
32,9,9,3
33,9,10,3
34,9,11,3
35,9,12,3
36,9,14,3
37,10,2,3
38,10,4,3
39,10,6,3
40,10,7,3
41,10,8,3
42,10,9,3
43,10,11,3
44,10,12,3
45,10,16,3
46,11,1,3
47,11,2,3
48,11,3,3
49,11,4,3
50,11,5,3
51,11,6,3
52,11,11,3
53,11,12,3
54,11,14,3
55,11,15,3
56,12,5,3
57,12,6,3
58,12,7,3
59,12,8,3
60,12,9,3
61,12,10,3
62,12,15,3
63,13,4,3
64,13,6,3
65,13,7,3
66,13,9,3
67,13,10,3
68,14,3,3
69,14,4,3
70,14,6,3
71,14,7,3
72,14,8,3
73,14,12,3
74,15,4,3
75,15,7,3
76,15,8,3
77,15,11,3
78,16,3,3
79,16,5,3
80,16,7,3
81,16,8,3
82,17,3,3
83,17,4,3
84,17,8,3
85,18,1,3
86,18,2,3
87,18,3,3
88,18,4,3
89,18,7,3
90,18,9,3
91,20,2,3
92,20,9,3
93,21,1,3
94,21,8,3
95,21,10,3
96,22,7,3
97,22,8,3
98,22,10,3
