id,x,y,workerRge,W_uptime,W_downtime
0,12,4,0.2,4,78
1,12,4,0.3,4,78
2,10,8,0.2,34,189
3,10,8,0.3,34,189
4,10,9,0.2,51,202
5,10,9,0.3,52,202
6,9,7,0.3,78,186
7,10,7,0.2,82,167
8,10,7,0.1,82,167
9,10,6,0.1,117,194
10,10,6,0.3,117,195
11,10,6,0.1,118,193
12,12,6,0.2,131,559
13,10,7,0.2,135,242
14,10,7,0.2,135,243
15,12,7,0.3,136,225
16,11,7,0.2,141,219
17,12,5,0.1,141,219
18,12,5,0.1,142,219
19,10,7,0.2,155,334
20,12,7,0.1,172,388
21,12,7,0.1,172,388
22,10,7,0.1,178,269
23,10,7,0.1,181,269
24,10,7,0.3,182,269
25,12,11,0.1,186,635
26,11,9,0.3,202,299
27,11,7,0.3,208,279
28,11,6,0.1,28,379
29,12,5,0.1,36,234
30,13,9,0.3,46,388
31,10,7,0.1,64,162
32,12,6,0.2,86,171
33,12,6,0.3,87,170
34,12,7,0.1,118,206
35,7,5,0.2,129,382
36,11,7,0.2,140,235
37,11,7,0.1,143,234
38,12,7,0.2,144,608
39,12,7,0.3,145,608
40,12,7,0.1,147,607
41,10,8,0.1,182,269
42,10,8,0.2,182,269
43,10,7,0.1,187,315
44,12,7,0.3,205,302
45,12,7,0.2,205,302
46,12,7,0.1,207,302
47,7,6,0.2,224,303
48,7,6,0.3,230,355
49,10,4,0.3,234,392
50,10,6,0.3,236,563
51,10,6,0.3,236,562
52,11,7,0.3,238,352
53,10,4,0.2,238,392
