ID,x,y,workerRge,W_uptime,W_downtime
0,2,19,0.25,0,60
1,17,4,0.25,1,61
2,27,5,0.26,2,62
3,1,0,0.27,3,63
4,9,25,0.22,8,68
5,9,7,0.29,9,69
6,13,14,0.2,10,70
7,14,11,0.28,11,71
8,11,5,0.23,13,73
9,12,25,0.23,14,74
10,21,22,0.21,14,74
11,29,10,0.26,20,80
12,2,13,0.26,21,81
13,28,21,0.28,21,81
14,15,16,0.27,22,82
15,3,3,0.28,23,83
16,8,10,0.27,30,90
17,25,18,0.22,31,91
18,20,26,0.3,32,92
19,8,7,0.25,34,94
20,22,15,0.3,39,99
21,5,17,0.22,42,102
22,20,9,0.23,49,109
23,8,25,0.22,53,113
24,11,8,0.23,53,113
25,2,5,0.3,56,116
26,29,20,0.26,61,121
27,7,3,0.26,64,124
28,13,11,0.28,65,125
29,15,25,0.29,66,126
30,16,22,0.2,68,128
31,10,26,0.27,72,132
32,8,4,0.24,74,134
33,24,0,0.21,75,135
34,15,20,0.23,75,135
35,29,7,0.24,76,136
36,0,29,0.23,76,136
37,9,10,0.29,77,137
38,4,2,0.29,78,138
39,22,2,0.24,78,138
40,15,7,0.26,78,138
41,2,13,0.27,80,140
42,13,2,0.28,81,141
43,1,5,0.24,81,141
44,9,2,0.27,82,142
45,19,0,0.24,83,143
46,3,9,0.26,84,144
47,4,10,0.21,86,146
48,4,23,0.23,87,147
49,12,27,0.29,88,148
50,4,5,0.22,88,148
51,27,27,0.25,89,149
52,1,17,0.29,91,151
53,22,2,0.21,91,151
54,1,12,0.2,93,153
55,17,14,0.3,93,153
56,21,22,0.28,94,154
57,7,29,0.28,96,156
58,9,19,0.2,97,157
59,9,27,0.25,98,158
60,7,11,0.23,99,159
61,2,6,0.25,102,162
62,4,2,0.2,106,166
63,16,3,0.27,107,167
64,23,10,0.2,107,167
65,8,24,0.21,112,172
66,27,25,0.29,115,175
67,10,28,0.21,115,175
68,14,21,0.27,118,178
69,10,3,0.3,119,179
