ID,x,y,uavRge,Fullpower,uPow,U_uptime,U_downtime
0,14,6,0.85,28,10,16,76
1,12,8,0.84,22,19,71,131
2,10,4,0.8,28,18,30,90
3,2,18,0.85,28,12,11,71
4,17,10,0.82,20,6,54,114
5,7,5,0.87,29,18,58,118
6,19,14,0.81,28,19,75,135
7,15,9,0.83,24,13,74,134
8,10,16,0.87,24,9,84,144
9,3,4,0.82,28,19,78,138
10,8,1,0.83,28,18,75,135
11,9,9,0.83,29,19,65,125
12,6,5,0.85,28,8,62,122
13,5,10,0.84,22,14,52,112
14,18,18,0.88,28,10,46,106
15,16,14,0.83,24,19,104,164
16,6,8,0.82,21,20,98,158
17,16,5,0.81,23,7,114,174
18,1,17,0.83,30,19,116,176
19,13,2,0.84,25,19,107,167
20,15,19,0.86,28,23,54,114
21,2,17,0.9,26,20,53,113
22,3,15,0.82,25,18,107,167
23,12,3,0.89,28,28,14,74
24,11,8,0.85,29,19,120,180
25,17,2,0.81,24,10,112,172
26,19,2,0.89,30,9,93,153
27,6,5,0.85,28,26,117,177
28,1,10,0.81,28,19,92,152
29,0,0,0.89,24,10,96,156
