ID,x,y,carRge,C_uptime,C_downtime,C_chargePow
0,3,21,0.56,71,131,14
1,20,0,0.59,84,144,14
2,22,3,0.56,40,100,14
3,4,14,0.53,44,104,14
4,17,17,0.51,73,133,14
5,21,12,0.51,30,90,14
6,12,4,0.56,41,101,14
7,21,8,0.52,81,141,14
8,8,4,0.55,12,72,14
9,18,13,0.51,81,141,14
10,26,26,0.6,16,76,14
11,17,27,0.59,78,138,14
12,29,20,0.53,104,164,14
13,16,10,0.59,51,111,14
14,5,22,0.51,99,159,14
15,12,10,0.53,53,113,14
16,21,21,0.55,74,134,14
17,17,4,0.55,89,149,14
18,22,15,0.56,4,64,14
19,11,24,0.58,62,122,14
