ID,x,y,T_costPow
0,24,11,3
1,10,29,3
2,26,23,3
3,13,2,3
4,21,17,3
5,24,20,3
6,21,5,3
7,12,8,3
8,6,5,3
9,11,29,3
10,0,16,3
11,0,6,3
12,23,26,3
13,26,2,3
14,9,23,3
15,2,2,3
16,27,27,3
17,6,4,3
18,28,22,3
19,0,24,3
20,20,14,3
21,29,5,3
22,28,25,3
23,2,15,3
24,3,16,3
25,28,16,3
26,3,18,3
27,19,2,3
28,17,1,3
29,7,6,3
30,0,25,3
31,1,22,3
32,2,26,3
33,18,0,3
34,4,18,3
35,11,11,3
36,11,8,3
37,18,17,3
38,18,24,3
39,29,10,3
40,26,11,3
41,0,13,3
42,6,18,3
43,24,19,3
44,6,25,3
45,14,28,3
46,28,28,3
47,13,20,3
48,14,26,3
49,14,16,3
50,14,21,3
51,24,4,3
52,4,20,3
53,23,6,3
54,25,6,3
55,17,0,3
56,6,17,3
57,11,23,3
58,5,9,3
59,12,1,3
60,10,15,3
61,9,7,3
62,0,15,3
63,14,19,3
64,5,27,3
65,4,12,3
66,27,0,3
67,0,5,3
68,18,4,3
69,17,5,3
70,7,23,3
71,5,29,3
72,8,9,3
73,20,9,3
74,3,3,3
75,29,27,3
76,7,14,3
77,21,11,3
78,28,6,3
79,19,9,3
80,19,10,3
81,6,28,3
82,12,29,3
83,2,14,3
84,19,26,3
85,20,15,3
86,25,21,3
87,17,10,3
88,26,8,3
89,24,6,3
90,4,28,3
91,18,27,3
92,12,11,3
93,3,27,3
94,27,28,3
95,23,3,3
96,29,21,3
97,2,29,3
98,18,20,3
99,2,10,3
100,7,12,3
101,15,18,3
102,24,22,3
103,21,4,3
104,10,1,3
105,20,26,3
106,27,23,3
107,21,18,3
108,3,22,3
109,19,22,3
110,19,0,3
111,27,10,3
112,2,27,3
113,25,17,3
114,23,8,3
115,16,7,3
116,0,2,3
117,4,2,3
118,16,6,3
119,28,19,3
