id,x,y,uavRge,FullPower,uPow,U_uptime,U_downtime
0,18,25,0.8,35,30,172,269
1,22,18,0.8,35,30,82,185
2,15,12,0.8,35,30,174,267
3,17,13,0.8,35,30,66,158
4,19,28,0.8,35,30,90,192
5,20,28,0.8,35,30,104,201
6,17,17,0.8,35,30,151,243
7,11,12,0.8,35,30,87,179
8,16,19,0.8,35,30,200,291
9,14,10,0.8,35,30,192,286
10,11,17,0.8,35,30,170,261
11,15,5,0.9,36,28,45,136
12,6,7,0.8,40,40,46,142
13,12,25,0.8,40,40,1,92
14,5,2,0.9,32,22,185,276
15,6,7,0.7,40,32,102,198
16,20,21,0.8,34,26,174,269
17,14,9,0.8,37,28,111,202
18,6,7,0.7,33,31,186,278
19,6,7,0.7,40,38,145,239
