id,x,y,workerRge,W_uptime,W_downtime
0,12,17,0.1,13,109
1,23,21,0.3,54,153
2,17,19,0.2,127,219
3,15,13,0.3,176,269
4,12,25,0.1,17,110
5,18,10,0.2,56,150
6,20,12,0.1,58,153
7,23,16,0.3,161,254
8,20,13,0.1,55,153
9,22,14,0.3,63,170
10,9,18,0.2,96,191
11,11,18,0.2,149,240
12,12,16,0.1,163,261
13,20,20,0.3,134,226
14,15,19,0.2,46,139
15,12,20,0.3,57,150
16,11,18,0.1,168,268
17,17,24,0.1,141,233
18,11,23,0.3,12,107
19,16,17,0.3,111,204
20,12,12,0.3,53,145
21,7,12,0.3,107,205
22,17,8,0.2,168,269
23,7,7,0.2,27,129
24,21,12,0.1,67,164
25,14,16,0.2,157,248
26,10,18,0.3,67,159
27,20,11,0.1,63,154
28,21,21,0.3,155,247
29,17,10,0.2,180,279
30,11,16,0.3,96,187
31,20,19,0.2,24,120
32,21,15,0.3,157,250
33,18,18,0.2,50,142
34,12,17,0.2,49,144
35,8,14,0.1,73,166
36,13,13,0.2,113,206
37,21,11,0.1,41,135
